id,code,name
product_uom_code_04,04,spray pequeño
product_uom_code_05,05,levantar
product_uom_code_08,08,Lote calor
product_uom_code_10,10,grupo
product_uom_code_11,11,equipar
product_uom_code_13,13,ración
product_uom_code_14,14,Disparo
product_uom_code_15,15,palo
product_uom_code_16,16,tambor de ciento quince kg
product_uom_code_17,17,tambor de cien libras
product_uom_code_18,18,tambor de cincuenta y cinco galones (US)
product_uom_code_19,19,camión cisterna
product_uom_code_20,20,contenedor de veinte pies
product_uom_code_21,21,contenedor de cuarenta pies
product_uom_code_22,22,decilitro por gramo
product_uom_code_23,23,gramo por centímetro cúbico
product_uom_code_24,24,libra teórica
product_uom_code_25,25,gramo por centímetro cuadrado
product_uom_code_26,26,tonelada real
product_uom_code_27,27,tonelada teórica
product_uom_code_28,28,kilogramo por metro cuadrado
product_uom_code_29,29,libra por mil pies cuadrados
product_uom_code_30,30,Día de potencia del caballo por tonelada métrica seca al aire.
product_uom_code_31,31,coger peso
product_uom_code_32,32,kilogramo por aire seco tonelada métrica
product_uom_code_33,33,kilopascales metros cuadrados por gramo
product_uom_code_34,34,kilopascales por milímetro
product_uom_code_35,35,mililitros por centímetro cuadrado segundo
product_uom_code_36,36,pies cúbicos por minuto por pie cuadrado
product_uom_code_37,37,onza por pie cuadrado
product_uom_code_38,38,"onzas por pie cuadrado por 0,01 pulgadas"
product_uom_code_40,40,mililitro por segundo
product_uom_code_41,41,mililitro por minuto
product_uom_code_43,43,bolsa súper a granel
product_uom_code_44,44,bolsa a granel de quinientos kg
product_uom_code_45,45,bolsa a granel de trescientos kg
product_uom_code_46,46,bolsa a granel de cincuenta libras
product_uom_code_47,47,bolsa de cincuenta libras
product_uom_code_48,48,carga de automóviles a granel
product_uom_code_53,53,kilogramos teóricos
product_uom_code_54,54,tonelada teórica
product_uom_code_56,56,sitas
product_uom_code_57,57,malla
product_uom_code_58,58,kilogramo neto
product_uom_code_59,59,parte por millón
product_uom_code_60,60,porcentaje de peso
product_uom_code_61,61,parte por billón (US)
product_uom_code_62,62,porcentaje por 1000 horas
product_uom_code_63,63,tasa de fracaso en el tiempo
product_uom_code_64,64,"libra por pulgada cuadrada, calibre"
product_uom_code_66,66,Oersted
product_uom_code_69,69,prueba de escala específica
product_uom_code_71,71,voltio amperio por libra
product_uom_code_72,72,vatio por libra
product_uom_code_73,73,amperio tum por centímetro
product_uom_code_74,74,milipascal
product_uom_code_76,76,gauss
product_uom_code_77,77,mili pulgadas
product_uom_code_78,78,kilogauss
product_uom_code_80,80,libras por pulgada cuadrada absoluta
product_uom_code_81,81,Enrique
product_uom_code_84,84,kilopound por pulgada cuadrada
product_uom_code_85,85,fuerza libra pie
product_uom_code_87,87,libra por pie cúbico
product_uom_code_89,89,equilibrio
product_uom_code_90,90,Saybold segundo universal
product_uom_code_91,91,alimenta
product_uom_code_92,92,calorías por centímetro cúbico
product_uom_code_93,93,calorías por gramo
product_uom_code_94,94,unidad
product_uom_code_95,95,veinte mil galones (US) de carros
product_uom_code_96,96,diez mil galones (US) de carros
product_uom_code_97,97,tambor de diez kg
product_uom_code_98,98,tambor de quince kg
product_uom_code_1a,1A,milla de coche
product_uom_code_1b,1B,recuento de coches
product_uom_code_1c,1C,recuento de locomotoras
product_uom_code_1d,1D,recuento de cabos
product_uom_code_1e,1E,carro vacio
product_uom_code_1f,1F,millas de tren
product_uom_code_1g,1G,uso de combustible galón (US)
product_uom_code_1h,1H,milla del caboose
product_uom_code_1i,1I,tipo de interés fijo
product_uom_code_1j,1J,tonelada milla
product_uom_code_1k,1K,milla locomotora
product_uom_code_1l,1L,recuento total de coches
product_uom_code_1m,1M,milla de coche total
product_uom_code_1x,1X,cuarto de milla
product_uom_code_2a,2A,radianes por segundo
product_uom_code_2b,2B,radianes por segundo al cuadrado
product_uom_code_2c,2C,Röntgen
product_uom_code_2i,2I,Unidad térmica británica por hora.
product_uom_code_2j,2J,centímetro cúbico por segundo
product_uom_code_2k,2K,pie cúbico por hora
product_uom_code_2l,2L,pie cúbico por minuto
product_uom_code_2m,2M,centímetro por segundo
product_uom_code_2n,2N,decibel
product_uom_code_2p,2P,kilobyte
product_uom_code_2q,2Q,kilobecquerel
product_uom_code_2r,2R,kilocurie
product_uom_code_2u,2U,megagramo
product_uom_code_2v,2V,megagramo por hora
product_uom_code_2w,2W,compartimiento
product_uom_code_2x,2X,metro por minuto
product_uom_code_2y,2Y,milliröntgen
product_uom_code_2z,2Z,milivoltios
product_uom_code_3b,3B,megajulio
product_uom_code_3c,3C,manmonth
product_uom_code_3e,3E,libra por libra de producto
product_uom_code_3g,3G,libra por pieza de producto
product_uom_code_3h,3H,kilogramo por kilogramo de producto
product_uom_code_3i,3I,kilogramo por pieza de producto
product_uom_code_4a,4A,bobina
product_uom_code_4b,4B,gorra
product_uom_code_4c,4C,centistokes
product_uom_code_4e,4E,paquete de veinte
product_uom_code_4g,4G,microlitro
product_uom_code_4h,4H,micrometro
product_uom_code_4k,4K,miliamperio
product_uom_code_4l,4L,megabyte
product_uom_code_4m,4M,miligramo por hora
product_uom_code_4n,4N,megabecquerel
product_uom_code_4o,4O,microfarad
product_uom_code_4p,4P,newton por metro
product_uom_code_4q,4Q,onza pulgada
product_uom_code_4r,4R,pie onza
product_uom_code_4t,4T,picofarad
product_uom_code_4u,4U,libra por hora
product_uom_code_4w,4W,tonelada (US) por hora
product_uom_code_4x,4X,kilolitro por hora
product_uom_code_5a,5A,barril por minuto
product_uom_code_5b,5B,lote
product_uom_code_5c,5C,galón (US) por mil
product_uom_code_5e,5E,MMSCF / día
product_uom_code_5f,5F,libras por mil
product_uom_code_5g,5G,bomba
product_uom_code_5h,5H,escenario
product_uom_code_5i,5I,pie cúbico estándar
product_uom_code_5j,5J,potencia hidráulica de caballos
product_uom_code_5k,5K,contar por minuto
product_uom_code_5p,5P,nivel sismico
product_uom_code_5q,5Q,nfor sismica
product_uom_code_a1,A1,15 calorías C
product_uom_code_a10,A10,amperio metro cuadrado por joule segundo
product_uom_code_a11,A11,Ã ¥ ngström
product_uom_code_a12,A12,unidad astronómica
product_uom_code_a13,A13,attojoule
product_uom_code_a14,A14,granero
product_uom_code_a15,A15,granero por electrón voltio
product_uom_code_a16,A16,"granero por voltio de electrones esteradiano,"
product_uom_code_a17,A17,granero por sterdian
product_uom_code_a18,A18,becquerel por kilogramo
product_uom_code_a19,A19,becquerel por metro cúbico
product_uom_code_a2,A2,amperio por centímetro
product_uom_code_a20,A20,Unidad térmica británica por segundo pie cuadrado grado Rankin
product_uom_code_a21,A21,Unidad térmica británica por libra grado Rankin
product_uom_code_a22,A22,Unidad térmica británica por segundo pie grado Rankin
product_uom_code_a23,A23,Unidad térmica británica por hora pie cuadrado grado Rankin
product_uom_code_a24,A24,candela por metro cuadrado
product_uom_code_a25,A25,cheval vapeur
product_uom_code_a26,A26,medidor de culombio
product_uom_code_a27,A27,medidor de culombio al cuadrado por voltio
product_uom_code_a28,A28,Coulomb por centímetro cúbico
product_uom_code_a29,A29,Coulomb por metro cúbico
product_uom_code_a3,A3,amperio por milímetro
product_uom_code_a30,A30,Coulomb por milímetro cúbico
product_uom_code_a31,A31,Coulomb por kilogramo segundo
product_uom_code_a32,A32,Coulomb por mol
product_uom_code_a33,A33,Coulomb por centímetro cuadrado
product_uom_code_a34,A34,Coulomb por metro cuadrado
product_uom_code_a35,A35,Coulomb por milímetro cuadrado
product_uom_code_a36,A36,centímetro cúbico por mol
product_uom_code_a37,A37,nformaci cúbico por mol
product_uom_code_a38,A38,metro cúbico por coulomb
product_uom_code_a39,A39,metro cúbico por kilogramo
product_uom_code_a4,A4,amperio por centímetro cuadrado
product_uom_code_a40,A40,metro cúbico por mol
product_uom_code_a41,A41,amperio por metro cuadrado
product_uom_code_a42,A42,curie por kilogramo
product_uom_code_a43,A43,tonelaje de peso muerto
product_uom_code_a44,A44,decalitro
product_uom_code_a45,A45,decámetro
product_uom_code_a47,A47,decitex
product_uom_code_a48,A48,grado Rankin
product_uom_code_a49,A49,negador
product_uom_code_a5,A5,amperio metro cuadrado
product_uom_code_a50,A50,dyn segundo por centímetro cúbico
product_uom_code_a51,A51,dina segundo por centímetro
product_uom_code_a52,A52,dina segundo por centímetro al quinto
product_uom_code_a53,A53,electronvolt
product_uom_code_a54,A54,electronvoltio por metro
product_uom_code_a55,A55,metro electronvolt cuadrado
product_uom_code_a56,A56,electronvoltio de metro cuadrado por kilogramo
product_uom_code_a57,A57,ergio
product_uom_code_a58,A58,erg por centímetro
product_uom_code_a6,A6,amperio por metro cuadrado kelvin al cuadrado
product_uom_code_a60,A60,erg por centímetro cúbico
product_uom_code_a61,A61,erg por gramo
product_uom_code_a62,A62,erg por gramo de segundo
product_uom_code_a63,A63,erg por segundo
product_uom_code_a64,A64,erg por segundo centímetro cuadrado
product_uom_code_a65,A65,erg por centímetro cuadrado segundo
product_uom_code_a66,A66,erg centímetro cuadrado
product_uom_code_a67,A67,ergímetro cuadrado por gramo
product_uom_code_a68,A68,exajulio
product_uom_code_a69,A69,faradio por metro
product_uom_code_a7,A7,amperio por milímetro cuadrado
product_uom_code_a70,A70,femtojoule
product_uom_code_a71,A71,femtometro
product_uom_code_a73,A73,pie por segundo al cuadrado
product_uom_code_a74,A74,pie-fuerza de la libra por segundo
product_uom_code_a75,A75,tonelada de carga
product_uom_code_a76,A76,galón
product_uom_code_a77,A77,Unidad de desplazamiento CGS gaussiana
product_uom_code_a78,A78,Unidad gaussiana CGS de corriente eléctrica.
product_uom_code_a79,A79,Unidad Gaussian CGS de carga eléctrica.
product_uom_code_a8,A8,amperio segundo
product_uom_code_a80,A80,Unidad Gaussian CGS de intensidad de campo eléctrico.
product_uom_code_a81,A81,Unidad Gaussian CGS de polarización eléctrica.
product_uom_code_a82,A82,Unidad Gaussian CGS de potencial eléctrico.
product_uom_code_a83,A83,Unidad Gaussiana CGS de magnetización.
product_uom_code_a84,A84,gigacoulomb por metro cúbico
product_uom_code_a85,A85,Gigaelectronvolt
product_uom_code_a86,A86,gigahercios
product_uom_code_a87,A87,gigaohm
product_uom_code_a88,A88,medidor de gigaohm
product_uom_code_a89,A89,gigapascal
product_uom_code_a9,A9,tarifa
product_uom_code_a90,A90,gigavatios
product_uom_code_a91,A91,gon
product_uom_code_a93,A93,gramo por metro cúbico
product_uom_code_a94,A94,gramo por mol
product_uom_code_a95,A95,gris
product_uom_code_a96,A96,gris por segundo
product_uom_code_a97,A97,hectopascal
product_uom_code_a98,A98,Henry por metro
product_uom_code_aa,AA,bola
product_uom_code_ab,AB,paquete a granel
product_uom_code_acr,ACR,acre
product_uom_code_ad,AD,byte
product_uom_code_ae,AE,amperio por metro
product_uom_code_ah,AH,minuto adicional
product_uom_code_ai,AI,minuto promedio por llamada
product_uom_code_aj,AJ,policía
product_uom_code_ak,AK,braza
product_uom_code_al,AL,nfor de acceso
product_uom_code_am,AM,ampolla
product_uom_code_amh,AMH,hora amperio
product_uom_code_amp,AMP,amperio
product_uom_code_ana,ANA,año
product_uom_code_ap,AP,solo libra de aluminio
product_uom_code_apz,APZ,onza troy o onza de boticarios
product_uom_code_aq,AQ,Unidad de factor antihemofílico (AHF)
product_uom_code_ar,AR,supositorio
